Sr No,Stock,Cross Date,Price,Vol %,RSI
1,IRB,2026-06-16,21.42,87.0,53.6
2,RECLTD,2026-06-16,358.7,87.7,60.2
3,DMART,2026-06-16,4306.7,84.4,60.5
4,BAJFINANCE,2026-06-16,958.85,56.2,62.5
5,PRESTIGE,2026-06-16,1527.7,138.4,67.5
6,NTPC,2026-06-16,361.95,96.0,41.8
7,MGL,2026-06-16,1210.7,83.6,69.9
8,GRAVITA,2026-06-16,1726.4,167.1,63.3
9,HDFCAMC,2026-06-16,2728.2,64.5,61.5
10,TBOTEK,2026-06-17,1465.2,62.0,75.2
11,SPLPETRO,2026-06-17,721.7,131.2,58.5
12,OLECTRA,2026-06-17,1446.6,335.1,68.7
13,INDHOTEL,2026-06-17,710.45,103.7,68.6
14,3MINDIA,2026-06-17,33250.0,58.5,60.6
15,CROMPTON,2026-06-17,277.1,139.9,55.0
16,ACE,2026-06-17,976.45,220.7,69.0
17,BEL,2026-06-17,428.6,197.6,59.8
18,HAL,2026-06-17,4411.5,87.4,56.5
19,APLAPOLLO,2026-06-18,1860.9,36.4,52.3
20,AAVAS,2026-06-18,1467.6,48.3,67.5
21,REDINGTON,2026-06-18,271.95,578.9,73.3
22,PGEL,2026-06-18,564.25,107.2,69.4
23,CONCORDBIO,2026-06-18,1347.5,30.5,66.4
24,HOMEFIRST,2026-06-18,1146.1,112.5,60.0
25,MFSL,2026-06-18,1688.2,173.2,59.1
26,ENDURANCE,2026-06-18,2623.3,61.9,54.9
27,LICI,2026-06-18,430.0,174.4,66.0
28,FIVESTAR,2026-06-18,518.85,366.7,74.0
29,INDGN,2026-06-18,518.6,68.8,53.3
30,NIACL,2026-06-18,178.67,1698.6,71.5
31,MAXHEALTH,2026-06-18,1090.45,183.8,70.4
32,UNITDSPR,2026-06-18,1350.3,337.7,66.9
